Sc,SpAc,response,rt,subj_idx,CE,SC,CE_squared,SC_squared
2,Sp,0,0.493,ppn11,0.1974875926,0.8748462513,1.45144006642E-07,0.0009205059
2,Sp,0,0.315,ppn11,0.2221268924,1.0352596937,0.0006260143,0.0169191421
2,Sp,1,0.461,ppn11,0.1994327412,0.8079632521,5.41086355588E-06,0.0094522804
2,Sp,1,0.416,ppn11,0.1827756057,1.1020252486,0.0002053778,0.0387456539
2,Sp,1,0.504,ppn11,0.1660405227,0.6798087482,0.0009651021,0.0507949467
2,Sp,1,0.436,ppn11,0.1569354902,0.9746522322,0.0016137193,0.0048255448
2,Sp,1,0.505,ppn11,0.1815179034,0.986085023,0.0002430079,0.0065446372
2,Sp,1,0.443,ppn11,0.2194707875,0.9839455863,0.0005001562,0.0062030581
2,Sp,1,0.466,ppn11,0.1790577097,0.9256202034,0.000325763,0.0004175529
2,Sp,1,0.423,ppn11,0.2133708812,1.116794619,0.0002645264,0.0447781691
2,Sp,1,0.365,ppn11,0.2029143162,1.0545064858,3.37293943709E-05,0.0222965803
2,Sp,0,0.435,ppn11,0.1755808977,1.112422895,0.0004633565,0.0429470929
2,Sp,1,0.452,ppn11,0.1670194161,0.9060029024,0.0009052395,6.67180645316E-07
2,Sp,1,0.951,ppn11,0.1650574011,0.7898328246,0.0010271521,0.0133063761
2,Sp,1,0.528,ppn11,0.1917532985,0.8388827445,0.000028658,0.0043961338
2,Sp,1,0.391,ppn11,0.1593003234,1.1031143477,0.0014293157,0.0391755947
2,Sp,1,0.221,ppn11,0.1990675232,0.8715696104,3.84516135455E-06,0.0011300678
2,Sp,1,0.407,ppn11,0.2195798309,1.0184727961,0.0005050454,0.0128338775
2,Sp,1,0.515,ppn11,0.1967244354,0.9868774513,1.4606117148E-07,0.0066734783
2,Sp,1,0.285,ppn11,0.1547334752,1.0222148558,0.001795483,0.0136957318
2,Sp,0,0.308,ppn11,0.2088879236,0.9125195145,0.0001387992,5.37790982744E-05
2,Sp,0,0.271,ppn11,0.2002762025,0.774170485,1.00462855436E-05,0.0171650891
2,Sp,1,0.613,ppn11,0.1571802748,1.0176128363,0.0015941126,0.012639773
2,Sp,1,0.384,ppn11,0.2130186017,1.0305123987,0.0002531913,0.0157066834
2,Sp,1,0.474,ppn11,0.2200244073,0.9342611995,0.0005252252,0.0008453619
2,Sp,1,0.363,ppn11,0.2189564813,1.0215613014,0.0004774167,0.0135431896
2,Sp,1,0.378,ppn11,0.1742905508,0.9818335883,0.0005205728,0.0058748388
2,Sp,1,0.483,ppn11,0.1732284623,0.7354057415,0.0005701662,0.0288253671
2,Sp,1,0.412,ppn11,0.1788490073,1.027609528,0.0003333402,0.0149874979
2,Sp,0,0.511,ppn11,0.22649345,0.7522385794,0.0008635861,0.0233929413
2,Sp,1,0.444,ppn11,0.1790914473,0.9180890626,0.0003245463,0.0001664867
2,Sp,1,0.302,ppn11,0.1745345497,0.67941461,0.0005094981,0.0509727617
2,Sp,0,0.519,ppn11,0.1678555007,0.7798642952,0.0008556277,0.0157055525
2,Sp,1,0.43,ppn11,0.1644259599,0.7707787737,0.0010680252,0.018065327
2,Sp,1,0.49,ppn11,0.1853689403,0.9544813317,0.000137773,0.0024300207
2,Sp,1,0.331,ppn11,0.1786171673,0.9089172473,0.0003418597,1.39215263399E-05
2,Sp,1,0.445,ppn11,0.1973994834,0.9401615126,8.5771957327E-08,0.0012232801
2,Sp,1,0.329,ppn11,0.1730411457,0.8112691523,0.0005791468,0.0088203914
2,Sp,1,0.669,ppn11,0.2227707958,0.8352466169,0.0006586502,0.0048915301
2,Sp,0,1.125,ppn11,0.1566752842,0.8264496943,0.0016346925,0.0061994202
2,Sp,1,0.611,ppn11,0.1876623377,0.7687065363,8.91943718616E-05,0.0186266689
2,Sp,1,0.419,ppn11,0.1772042793,0.8233315852,0.000396103,0.0067001601
2,Sp,1,0.586,ppn11,0.1855609605,0.8673183608,0.0001333021,0.001433965
2,Sp,1,0.901,ppn11,0.189016576,0.8439917813,6.54487294302E-05,0.0037447436
2,Sp,0,1.192,ppn11,0.1996785955,1.0826010285,6.6150841983E-06,0.03147606
2,Sp,0,0.219,ppn11,0.1708707737,1.0404873709,0.0006883194,0.0183064363
2,Sp,1,0.536,ppn11,0.1693583771,0.8996787218,0.0007699647,3.0331116974E-05
2,Sp,0,0.426,ppn11,0.1699812087,1.1146728996,0.0007357877,0.0438847229
2,Sp,1,0.401,ppn11,0.2115623805,0.8808898933,0.0002089692,0.0005903052
2,Sp,1,0.359,ppn11,0.2047534105,0.8746117569,5.8473482923E-05,0.0009347899
2,Sp,1,0.643,ppn11,0.1582685029,0.849331243,0.0015083989,0.0031197641
2,Sp,1,0.648,ppn11,0.1740069524,1.0160218859,0.0005335944,0.0122845734
