,dier,Sc,lmh,SpAc,stimulus,stimulus_recoded_01,resp,correct,rt,subj_idx,CE,SC,CE_c,SC_c,CE_squared,SC_squared
129,nD,1,low,Sp,2,0,0,1,0.488,ppn11,0.0765477865,0.9470746208,-0.1205588284,0.0418885297,0.0145344311,0.0017546489
130,D,1,low,Sp,1,1,1,1,0.389,ppn11,0.0923788793,0.9202453668,-0.1047277356,0.0150592757,0.0109678986,0.0002267818
131,D,1,low,Sp,1,1,1,1,0.384,ppn11,0.085892548,0.8993645157,-0.1112140669,-0.0058215754,0.0123685687,3.38907405263E-05
132,nD,1,low,Sp,2,0,0,1,0.443,ppn11,0.0552625388,0.7241789249,-0.1418440761,-0.1810071662,0.0201197419,0.0327635942
133,D,1,low,Sp,1,1,0,0,0.421,ppn11,0.0918614353,0.8099833649,-0.1052451796,-0.0952027262,0.0110765478,0.0090635591
134,nD,1,low,Sp,2,0,0,1,0.52,ppn11,0.1025319131,0.9175928627,-0.0945747018,0.0124067716,0.0089443742,0.000153928
135,nD,1,low,Sp,2,0,0,1,0.446,ppn11,0.1215125562,1.0042388968,-0.0755940587,0.0990528057,0.0057144617,0.0098114583
136,nD,1,low,Sp,2,0,0,1,0.446,ppn11,0.1028543444,0.8259569705,-0.0942522705,-0.0792291206,0.0088834905,0.0062772536
137,D,1,low,Sp,1,1,1,1,0.341,ppn11,0.1272939589,0.9284698709,-0.069812656,0.0232837798,0.0048738069,0.0005421344
138,D,1,low,Sp,1,1,1,1,0.667,ppn11,0.1228549599,0.9877585169,-0.074251655,0.0825724258,0.0055133083,0.0068182055
139,nD,1,low,Sp,2,0,0,1,0.368,ppn11,0.0757041118,0.806044314,-0.1214025031,-0.0991417771,0.0147385678,0.009829092
140,nD,1,low,Sp,2,0,0,1,0.638,ppn11,0.0813482524,0.8376527396,-0.1157583625,-0.0675333515,0.0133999985,0.0045607536
141,D,1,low,Sp,1,1,1,1,0.283,ppn11,0.1218038042,0.9461707211,-0.0753028107,0.04098463,0.0056705133,0.0016797399
142,nD,1,low,Sp,2,0,0,1,0.465,ppn11,0.1341909747,1.0256570141,-0.0629156402,0.120470923,0.0039583778,0.0145132433
143,D,1,low,Sp,1,1,1,1,0.323,ppn11,0.0770740107,0.9472411733,-0.1200326042,0.0420550822,0.0144078261,0.0017686299
144,D,1,low,Sp,1,1,1,1,0.393,ppn11,0.1235412589,0.9380744342,-0.073565356,0.0328883431,0.0054118616,0.0010816431
145,nD,1,low,Sp,2,0,0,1,0.343,ppn11,0.1191376404,0.9302735466,-0.0779689745,0.0250874555,0.006079161,0.0006293804
146,nD,1,low,Sp,2,0,0,1,0.404,ppn11,0.0845221268,0.8477559668,-0.1125844881,-0.0574301243,0.012675267,0.0032982192
147,nD,1,low,Sp,2,0,0,1,0.419,ppn11,0.1350064436,0.8386002017,-0.0621001713,-0.0665858894,0.0038564313,0.0044336807
148,D,1,low,Sp,1,1,1,1,0.519,ppn11,0.123419597,1.05043133,-0.0736870179,0.1452452389,0.0054297766,0.0210961794
