Sc,lmh,SpAc,response,rt,subj_idx,CE,SC,CE_squared,SC_squared
2,med,Sp,1,0.359,ppn10,0.3454778974,0.7877297209,0.0089306519,0.0186308259
2,med,Sp,1,0.35,ppn10,0.4222960575,0.8032673123,0.0003127227,0.0146306423
2,med,Sp,1,0.417,ppn10,0.4839455477,0.982419506,0.0019329673,0.0033866582
2,med,Sp,0,0.558,ppn10,0.390348403,0.9184860808,0.0024632978,3.29295054351E-05
2,med,Sp,1,0.357,ppn10,0.435146502,1.0138009733,2.33629356209E-05,0.0080239438
2,med,Sp,0,0.524,ppn10,0.336753837,0.8882585293,0.0106556457,0.0012935514
2,med,Sp,0,0.468,ppn10,0.346586428,1.0146300917,0.0087223638,0.0081731702
2,med,Sp,1,0.314,ppn10,0.4514928959,0.8746117569,0.0001325462,0.0024614247
2,med,Sp,1,0.312,ppn10,0.361851763,1.0031867767,0.0061040252,0.0062350404
2,med,Sp,1,0.329,ppn10,0.3988749249,0.9606896196,0.0016896292,0.0013297046
2,med,Sp,1,0.355,ppn10,0.3223853242,0.9205937235,0.0138285134,1.31825699578E-05
2,med,Sp,1,0.312,ppn10,0.4699482083,0.9374898604,0.0008980921,0.0001759697
2,med,Sp,1,0.453,ppn10,0.3241409959,0.9693918953,0.0134186804,0.0020400932
2,med,Sp,0,0.497,ppn10,0.377820266,0.8112948254,0.0038638355,0.0127531124
2,med,Sp,1,0.385,ppn10,0.5204845304,0.7900382695,0.0064809755,0.0180059456
2,med,Sp,1,0.357,ppn10,0.4315303712,0.911827158,7.1396633658E-05,0.0001536942
2,med,Sp,1,0.283,ppn10,0.3498442785,0.9334913185,0.0081244526,8.58738435283E-05
2,med,Sp,1,0.419,ppn10,0.3801582566,0.8845549268,0.0035786439,0.0015736754
2,med,Sp,1,0.325,ppn10,0.5237216865,0.8981558825,0.007012666,0.000679573
2,med,Sp,1,0.38,ppn10,0.387102855,0.946458096,0.002795995,0.0004943326
2,med,Sp,1,0.396,ppn10,0.339003314,0.9944863255,0.010196296,0.0049367235
2,med,Sp,1,0.408,ppn10,0.514569148,0.8598799833,0.0055635374,0.0041402174
2,med,Sp,1,0.434,ppn10,0.4361404025,0.980667436,1.47426938165E-05,0.0031858045
2,med,Sp,1,0.435,ppn10,0.4040012745,0.9828748339,0.0012944704,0.0034398612
2,med,Sp,1,0.448,ppn10,0.3605131059,1.009084152,0.0063149911,0.0072011598
2,med,Sp,0,0.244,ppn10,0.319974415,0.915687433,0.0144013462,7.28815881215E-05
2,med,Sp,1,0.363,ppn10,0.3437660089,0.9418145177,0.0092571367,0.0003094086
2,med,Sp,1,0.396,ppn10,0.3526368837,0.8125680973,0.0076288242,0.0124671532
2,med,Sp,1,0.28,ppn10,0.4654165381,0.9435158242,0.0006470162,0.000372155
2,med,Sp,1,0.344,ppn10,0.4371069572,0.977594465,8.25451325121E-06,0.0028483527
2,med,Sp,1,0.372,ppn10,0.4397605179,0.8109408991,4.81829595636E-08,0.0128331752
2,med,Sp,1,0.307,ppn10,0.5283627372,0.9323404895,0.007811504,6.58692141122E-05
2,med,Sp,1,0.379,ppn10,0.515937513,1.0058584605,0.0057695401,0.0066641028
2,med,Sp,1,0.389,ppn10,0.3870858858,0.8656842586,0.0027977899,0.0034269604
2,med,Sp,1,0.327,ppn10,0.4896559889,0.8649120804,0.0024677015,0.0035179636
2,med,Sp,1,0.435,ppn10,0.5239592197,0.8800999718,0.0070525053,0.0019469744
2,med,Sp,1,0.471,ppn10,0.3834433572,0.8621348703,0.0031963947,0.0038551227
2,med,Sp,1,0.496,ppn10,0.4863081866,0.987866067,0.0021462986,0.0040502485
2,med,Sp,1,0.436,ppn10,0.510899667,0.9752224621,0.0050295958,0.0026007917
2,med,Sp,1,0.399,ppn10,0.39490681,0.9183031486,0.0020315946,3.5062454533E-05
2,med,Sp,1,0.361,ppn10,0.359945635,0.9642365998,0.0064055034,0.0016009678
2,med,Sp,1,0.302,ppn10,0.4695316329,0.8583946263,0.0008732976,0.0043335729
2,med,Sp,1,0.394,ppn10,0.3636547787,0.9367347193,0.0058255431,0.0001565055
2,med,Sp,1,0.38,ppn10,0.3810920484,0.8785499542,0.0034677937,0.0020861645
2,med,Sp,0,0.323,ppn10,0.4665704201,0.9676300122,0.0007070492,0.0018840381
2,med,Sp,1,0.373,ppn10,0.4358136099,0.8256977012,0.000017359,0.0097075309
2,med,Sp,1,0.38,ppn10,0.3264731909,0.9276007874,0.0128838012,1.13992868831E-05
2,med,Sp,1,0.318,ppn10,0.4828114735,1.0223691263,0.0018345331,0.0096323668
2,med,Sp,1,0.347,ppn10,0.435277069,0.9401615126,2.21177864096E-05,0.0002539882
2,med,Sp,1,0.355,ppn10,0.3274282873,0.9295902297,0.0126678935,0.000028791
2,med,Sp,1,0.33,ppn10,0.4075266509,1.0221889301,0.0010532214,0.0095970287
2,med,Sp,1,0.308,ppn10,0.4389551914,0.9024010199,1.05028200568E-06,0.0004762645
2,med,Sp,1,0.429,ppn10,0.3239799125,0.9701543385,0.0134560259,0.0021095497
2,med,Sp,1,0.342,ppn10,0.3303526531,0.9008977025,0.0120181605,0.0005441397
2,med,Sp,1,0.384,ppn10,0.4925271061,0.8664151125,0.0027611958,0.0033419258
2,med,Sp,1,0.346,ppn10,0.4325513314,0.9855449494,5.51854748156E-05,0.003760197
2,med,Sp,1,0.443,ppn10,0.4002572833,0.986085023,0.0015778961,0.0038267238
2,med,Sp,1,0.264,ppn10,0.5192269804,0.8923860641,0.0062800801,0.0010136863
2,med,Sp,1,0.311,ppn10,0.3411960985,1.0149247561,0.009758264,0.0082265357
2,med,Sp,1,0.351,ppn10,0.376319023,0.9800380726,0.0040527231,0.0031151544
2,med,Sp,1,0.327,ppn10,0.3361078926,0.9878344469,0.0107894197,0.0040462248
2,med,Sp,1,0.322,ppn10,0.4034272479,0.9302784703,0.0013361054,3.66505030951E-05
2,med,Sp,1,0.381,ppn10,0.4614067688,0.9569269401,0.0004591054,0.0010694493
